Correctness Tests
  Chained:        pass
  Second-Choice:  pass
  Linear Probing: fail
  Robin Hood:     fail
  Cuckoo:         fail

#### Timing Linear Probing ####
3-Independent Tabulation Hash; 0.90000;Query  177.53;
3-Independent Tabulation Hash; 0.99000;Insertion  466.65;
3-Independent Tabulation Hash; 0.99000;Query  225.74;
Identity Hash; 0.30000;Insertion   30.71;
Identity Hash; 0.30000;Query  100.87;
Identity Hash; 0.50000;Insertion   63.75;
Identity Hash; 0.50000;Query  125.90;
Identity Hash; 0.70000;Insertion   84.91;
Identity Hash; 0.70000;Query  119.19;
Identity Hash; 0.90000;Insertion  166.02;
Identity Hash; 0.90000;Query  146.27;
Identity Hash; 0.99000;Insertion  322.72;
Identity Hash; 0.99000;Query  181.39;
Jenkins Hash; 0.30000;Insertion   37.06;
Jenkins Hash; 0.30000;Query  133.23;
Jenkins Hash; 0.50000;Insertion   77.62;
Jenkins Hash; 0.50000;Query  165.23;
Jenkins Hash; 0.70000;Insertion  115.04;
Jenkins Hash; 0.70000;Query  151.82;
Jenkins Hash; 0.90000;Insertion  241.13;
Jenkins Hash; 0.90000;Query  202.32;
Jenkins Hash; 0.99000;Insertion  448.82;
Jenkins Hash; 0.99000;Query  232.39;
###########################

#### Timing Chained ####
2-Independent Polynomial Hash; 0.30000;Insertion   58.15;
2-Independent Polynomial Hash; 0.30000;Query  137.97;
2-Independent Polynomial Hash; 0.50000;Insertion  104.81;
2-Independent Polynomial Hash; 0.50000;Query  140.61;
2-Independent Polynomial Hash; 0.70000;Insertion  153.73;
2-Independent Polynomial Hash; 0.70000;Query  163.50;
2-Independent Polynomial Hash; 0.90000;Insertion  239.40;
2-Independent Polynomial Hash; 0.90000;Query  186.29;
2-Independent Polynomial Hash; 0.99000;Insertion  250.88;
2-Independent Polynomial Hash; 0.99000;Query  231.90;
2-Independent Polynomial Hash; 2.00000;Insertion  662.44;
2-Independent Polynomial Hash; 2.00000;Query  367.37;
2-Independent Polynomial Hash; 5.00000;Insertion 2330.30;
2-Independent Polynomial Hash; 5.00000;Query  584.63;
3-Independent Polynomial Hash; 0.30000;Insertion   75.76;
3-Independent Polynomial Hash; 0.30000;Query  143.55;
3-Independent Polynomial Hash; 0.50000;Insertion  107.86;
3-Independent Polynomial Hash; 0.50000;Query  150.15;
3-Independent Polynomial Hash; 0.70000;Insertion  160.68;
3-Independent Polynomial Hash; 0.70000;Query  207.98;
3-Independent Polynomial Hash; 0.90000;Insertion  219.16;
3-Independent Polynomial Hash; 0.90000;Query  209.12;
3-Independent Polynomial Hash; 0.99000;Insertion  292.41;
3-Independent Polynomial Hash; 0.99000;Query  223.12;
3-Independent Polynomial Hash; 2.00000;Insertion  654.93;
3-Independent Polynomial Hash; 2.00000;Query  354.94;
3-Independent Polynomial Hash; 5.00000;Insertion 2662.76;
3-Independent Polynomial Hash; 5.00000;Query  610.22;
5-Independent Polynomial Hash; 0.30000;Insertion   65.78;
5-Independent Polynomial Hash; 0.30000;Query  134.64;
5-Independent Polynomial Hash; 0.50000;Insertion  112.35;
5-Independent Polynomial Hash; 0.50000;Query  160.08;
5-Independent Polynomial Hash; 0.70000;Insertion  160.73;
5-Independent Polynomial Hash; 0.70000;Query  165.31;
5-Independent Polynomial Hash; 0.90000;Insertion  218.56;
5-Independent Polynomial Hash; 0.90000;Query  186.34;
5-Independent Polynomial Hash; 0.99000;Insertion  254.26;
5-Independent Polynomial Hash; 0.99000;Query  193.16;
5-Independent Polynomial Hash; 2.00000;Insertion  634.14;
5-Independent Polynomial Hash; 2.00000;Query  291.75;
5-Independent Polynomial Hash; 5.00000;Insertion 2651.10;
5-Independent Polynomial Hash; 5.00000;Query  572.17;
3-Independent Tabulation Hash; 0.30000;Insertion   63.09;
3-Independent Tabulation Hash; 0.30000;Query  122.97;
3-Independent Tabulation Hash; 0.50000;Insertion  106.44;
3-Independent Tabulation Hash; 0.50000;Query  139.70;
3-Independent Tabulation Hash; 0.70000;Insertion  157.67;
3-Independent Tabulation Hash; 0.70000;Query  161.97;
3-Independent Tabulation Hash; 0.90000;Insertion  210.69;
3-Independent Tabulation Hash; 0.90000;Query  179.31;
3-Independent Tabulation Hash; 0.99000;Insertion  247.72;
3-Independent Tabulation Hash; 0.99000;Query  189.05;
3-Independent Tabulation Hash; 2.00000;Insertion  622.70;
3-Independent Tabulation Hash; 2.00000;Query  297.58;
3-Independent Tabulation Hash; 5.00000;Insertion 2307.58;
3-Independent Tabulation Hash; 5.00000;Query  549.14;
Identity Hash; 0.30000;Insertion   58.50;
Identity Hash; 0.30000;Query  107.29;
Identity Hash; 0.50000;Insertion   96.21;
Identity Hash; 0.50000;Query  118.23;
Identity Hash; 0.70000;Insertion  141.10;
Identity Hash; 0.70000;Query  139.57;
Identity Hash; 0.90000;Insertion  184.65;
Identity Hash; 0.90000;Query  151.26;
Identity Hash; 0.99000;Insertion  220.35;
Identity Hash; 0.99000;Query  164.14;
Identity Hash; 2.00000;Insertion  543.99;
Identity Hash; 2.00000;Query  236.14;
Identity Hash; 5.00000;Insertion 1892.30;
Identity Hash; 5.00000;Query  447.20;
Jenkins Hash; 0.30000;Insertion   66.43;
Jenkins Hash; 0.30000;Query  136.45;
Jenkins Hash; 0.50000;Insertion  111.77;
Jenkins Hash; 0.50000;Query  155.10;
Jenkins Hash; 0.70000;Insertion  164.01;
Jenkins Hash; 0.70000;Query  170.94;
Jenkins Hash; 0.90000;Insertion  220.81;
Jenkins Hash; 0.90000;Query  189.90;
Jenkins Hash; 0.99000;Insertion  259.33;
Jenkins Hash; 0.99000;Query  198.65;
Jenkins Hash; 2.00000;Insertion  648.02;
Jenkins Hash; 2.00000;Query  299.04;
Jenkins Hash; 5.00000;Insertion 2299.54;
Jenkins Hash; 5.00000;Query  554.99;
###########################

#### Timing Second-Choice ####
2-Independent Polynomial Hash; 0.30000;Insertion   86.93;
2-Independent Polynomial Hash; 0.30000;Query  199.86;
2-Independent Polynomial Hash; 0.50000;Insertion  154.76;
2-Independent Polynomial Hash; 0.50000;Query  242.90;
2-Independent Polynomial Hash; 0.70000;Insertion  221.68;
2-Independent Polynomial Hash; 0.70000;Query  276.55;
2-Independent Polynomial Hash; 0.90000;Insertion  297.66;
2-Independent Polynomial Hash; 0.90000;Query  296.52;
2-Independent Polynomial Hash; 0.99000;Insertion  331.30;
2-Independent Polynomial Hash; 0.99000;Query  302.69;
2-Independent Polynomial Hash; 2.00000;Insertion  780.68;
2-Independent Polynomial Hash; 2.00000;Query  371.27;
2-Independent Polynomial Hash; 5.00000;Insertion 2139.19;
2-Independent Polynomial Hash; 5.00000;Query  378.93;
3-Independent Polynomial Hash; 0.30000;Insertion   87.14;
3-Independent Polynomial Hash; 0.30000;Query  209.04;
3-Independent Polynomial Hash; 0.50000;Insertion  153.94;
3-Independent Polynomial Hash; 0.50000;Query  241.31;
3-Independent Polynomial Hash; 0.70000;Insertion  225.94;
3-Independent Polynomial Hash; 0.70000;Query  276.52;
3-Independent Polynomial Hash; 0.90000;Insertion  300.04;
3-Independent Polynomial Hash; 0.90000;Query  297.88;
3-Independent Polynomial Hash; 0.99000;Insertion  336.35;
3-Independent Polynomial Hash; 0.99000;Query  354.24;
3-Independent Polynomial Hash; 2.00000;Insertion  781.58;
3-Independent Polynomial Hash; 2.00000;Query  361.56;
3-Independent Polynomial Hash; 5.00000;Insertion 2086.45;
3-Independent Polynomial Hash; 5.00000;Query  389.65;
5-Independent Polynomial Hash; 0.30000;Insertion   89.84;
5-Independent Polynomial Hash; 0.30000;Query  212.37;
5-Independent Polynomial Hash; 0.50000;Insertion  154.11;
5-Independent Polynomial Hash; 0.50000;Query  247.01;
5-Independent Polynomial Hash; 0.70000;Insertion  225.83;
5-Independent Polynomial Hash; 0.70000;Query  283.63;
5-Independent Polynomial Hash; 0.90000;Insertion  308.51;
5-Independent Polynomial Hash; 0.90000;Query  309.78;
5-Independent Polynomial Hash; 0.99000;Insertion  342.56;
5-Independent Polynomial Hash; 0.99000;Query  315.71;
5-Independent Polynomial Hash; 2.00000;Insertion  790.95;
5-Independent Polynomial Hash; 2.00000;Query  403.65;
5-Independent Polynomial Hash; 5.00000;Insertion 2124.63;
5-Independent Polynomial Hash; 5.00000;Query  381.38;
3-Independent Tabulation Hash; 0.30000;Insertion   87.17;
3-Independent Tabulation Hash; 0.30000;Query  200.40;
3-Independent Tabulation Hash; 0.50000;Insertion  151.46;
3-Independent Tabulation Hash; 0.50000;Query  238.82;
3-Independent Tabulation Hash; 0.70000;Insertion  222.92;
3-Independent Tabulation Hash; 0.70000;Query  306.23;
3-Independent Tabulation Hash; 0.90000;Insertion  300.77;
3-Independent Tabulation Hash; 0.90000;Query  299.54;
3-Independent Tabulation Hash; 0.99000;Insertion  340.49;
3-Independent Tabulation Hash; 0.99000;Query  307.78;
3-Independent Tabulation Hash; 2.00000;Insertion  783.38;
3-Independent Tabulation Hash; 2.00000;Query  356.94;
3-Independent Tabulation Hash; 5.00000;Insertion 2129.05;
3-Independent Tabulation Hash; 5.00000;Query  369.49;
###########################

#### Timing Cuckoo Hashing ####
2-Independent Polynomial Hash; 0.20000;Insertion  313.41;
2-Independent Polynomial Hash; 0.20000;Query  129.10;
2-Independent Polynomial Hash; 0.30000;Insertion   57.41;
2-Independent Polynomial Hash; 0.30000;Query  132.86;
2-Independent Polynomial Hash; 0.40000;Insertion   84.86;
2-Independent Polynomial Hash; 0.40000;Query  132.77;
2-Independent Polynomial Hash; 0.45000;Insertion  100.90;
2-Independent Polynomial Hash; 0.45000;Query  132.93;
2-Independent Polynomial Hash; 0.47000;Insertion  143.92;
2-Independent Polynomial Hash; 0.47000;Query  197.60;
3-Independent Polynomial Hash; 0.20000;Insertion   39.24;
3-Independent Polynomial Hash; 0.20000;Query  169.60;
3-Independent Polynomial Hash; 0.30000;Insertion   60.77;
3-Independent Polynomial Hash; 0.30000;Query  146.72;
3-Independent Polynomial Hash; 0.40000;Insertion   87.04;
3-Independent Polynomial Hash; 0.40000;Query  137.86;
3-Independent Polynomial Hash; 0.45000;Insertion  101.93;
3-Independent Polynomial Hash; 0.45000;Query  136.39;
3-Independent Polynomial Hash; 0.47000;Insertion  108.19;
3-Independent Polynomial Hash; 0.47000;Query  136.39;
5-Independent Polynomial Hash; 0.20000;Insertion   39.83;
5-Independent Polynomial Hash; 0.20000;Query  143.69;
5-Independent Polynomial Hash; 0.30000;Insertion   63.50;
5-Independent Polynomial Hash; 0.30000;Query  143.77;
5-Independent Polynomial Hash; 0.40000;Insertion   93.09;
5-Independent Polynomial Hash; 0.40000;Query  144.03;
5-Independent Polynomial Hash; 0.45000;Insertion  107.79;
5-Independent Polynomial Hash; 0.45000;Query  143.96;
5-Independent Polynomial Hash; 0.47000;Insertion  116.65;
5-Independent Polynomial Hash; 0.47000;Query  143.52;
3-Independent Tabulation Hash; 0.20000;Insertion   36.87;
3-Independent Tabulation Hash; 0.20000;Query  132.05;
3-Independent Tabulation Hash; 0.30000;Insertion   58.42;
3-Independent Tabulation Hash; 0.30000;Query  131.59;
3-Independent Tabulation Hash; 0.40000;Insertion   84.77;
3-Independent Tabulation Hash; 0.40000;Query  131.56;
3-Independent Tabulation Hash; 0.45000;Insertion  101.03;
3-Independent Tabulation Hash; 0.45000;Query  134.26;
3-Independent Tabulation Hash; 0.47000;Insertion  105.29;
3-Independent Tabulation Hash; 0.47000;Query  131.49;
###########################

